"ID","C_ST","N_L_U","Sort_Order"
1,"624","ҐВІНЕЯ-БІСАУ",49
2,"626","ТІМОР-ЛЕШТІ",207
3,"634","КАТАР",88
4,"642","РУМУНІЯ",178
5,"643","РОСІЙСЬКА ФЕДЕРАЦІЯ",176
6,"646","РУАНДА",177
7,"654","ОСТРІВ СВЯТОЇ ЄЛЕНИ",155
8,"660","АНҐІЛЬЯ",8
9,"662","СЕНТ-ЛЮСІЯ",190
10,"666","СЕН-П'ЄР І МІКЕЛОН",187
11,"670","СЕНТ-ВІНСЕНТ І ҐРЕНАДІНИ",188
12,"678","САН-ТОМЕ І ПРІНСІПІ",182
13,"682","САУДІВСЬКА АРАВІЯ",183
14,"690","СЕЙШЕЛИ",185
15,"694","СЬЄРРА-ЛЕОНЕ",202
16,"702","СІНҐАПУР",193
17,"704","В'ЄТНАМ",37
18,"705","СЛОВЕНІЯ",195
19,"706","СОМАЛІ",197
20,"710","ПІВДЕННА АФРИКА",168
21,"724","ІСПАНІЯ",80
22,"732","ЗАХІДНА САХАРА",71
23,"736","СУДАН",200
24,"740","СУРІНАМ",201
25,"744","ОСТРОВИ СВАЛЬБАРД ТА ЯН-МАЄН",159
26,"752","ШВЕЦІЯ",238
27,"756","ШВЕЙЦАРІЯ",237
28,"760","СИРІЙСЬКА АРАБСЬКА РЕСПУБЛІКА",192
29,"764","ТАЇЛАНД",204
30,"768","ТОҐО",208
31,"776","ТОНҐА",210
32,"780","ТРИНІДАД І ТОБАҐО",211
33,"784","ОБ'ЄДНАНІ АРАБСЬКІ ЕМІРАТИ",150
34,"792","ТУРЕЧЧИНА",214
35,"795","ТУРКМЕНІСТАН",215
36,"796","ТЕРКС І КАЙКОС, ОСТРОВИ",206
37,"804","УКРАЇНА",0
38,"807","МАКЕДОНІЯ, КОЛИШНЯ ЮГОСЛАВСЬКА РЕСПУБЛІКА",118
39,"826","СПОЛУЧЕНЕ КОРОЛІВСТВО",198
40,"834","ОБ'ЄДНАНА РЕСПУБЛІКА ТАНЗАНІЯ",149
41,"850","ВІРҐІНСЬКІ ОСТРОВИ, США",39
42,"858","УРУҐВАЙ",221
43,"860","УЗБЕКИСТАН",218
44,"862","ВЕНЕСУЕЛА",36
45,"876","УОЛЛІС І ФУТУНА",220
46,"887","ЄМЕН",69
48,"894","ЗАМБІЯ",70
49,"16","АМЕРИКАНСЬКЕ САМОА",7
51,"630","ПУЕРТО-РИКО",174
52,"638","РЕЮНЬЙОН",175
53,"10","АНТАРКТИДА",11
54,"540","НОВА КАЛЕДОНІЯ",147
55,"175","МАЙОТТА",116
56,"583","МІКРОНЕЗІЯ, ФЕДЕРАТИВНІ ШТАТИ",129
57,"466","МАЛІ",121
58,"136","ОСТРОВИ КАЙМАН",157
59,"508","МОЗАМБІК",130
60,"410","КОРЕЯ, РЕСПУБЛІКА",99
61,"438","ЛІХТЕНШТЕЙН",111
62,"300","ГРЕЦІЯ",55
63,"332","ГАЇТІ",42
64,"340","ГОНДУРАС",51
65,"348","УГОРЩИНА",217
66,"226","ЕКВАТОРІАЛЬНА ҐВІНЕЯ",64
67,"234","ФАРЕРСЬКІ ОСТРОВИ",222
68,"242","ФІДЖІ",223
69,"266","ҐАБОН",41
70,"222","САЛЬВАДОР",179
71,"232","ЕРІТРЕЯ",65
72,"686","СЕНЕҐАЛ",186
73,"762","ТАДЖИКИСТАН",203
74,"788","ТУНІС",213
75,"798","ТУВАЛУ",212
76,"818","ЄГИПЕТ",68
77,"840","СПОЛУЧЕНІ ШТАТИ АМЕРИКИ",199
78,"446","МАКАО",117
79,"703","СЛОВАЧЧИНА",194
80,"8","АЛБАНІЯ",5
81,"882","САМОА",180
82,"24","АНҐОЛА",9
83,"31","АЗЕРБАЙДЖАН",3
84,"36","АВСТРАЛІЯ",1
85,"40","АВСТРІЯ",2
86,"48","БАХРЕЙН",19
87,"51","ВІРМЕНІЯ",40
88,"52","БАРБАДОС",18
89,"60","БЕРМУДИ",23
90,"68","БОЛІВІЯ",26
91,"70","БОСНІЯ І ГЕРЦЕҐОВИНА",27
92,"84","БЕЛІЗ",20
93,"86","БРИТАНСЬКА ТЕРИТОРІЯ В ІНДІЙСЬКОМУ ОКЕАНІ",30
94,"96","БРУНЕЙ-ДАРУССАЛАМ",31
95,"104","М'ЯНМА",135
96,"112","БІЛОРУСЬ",24
97,"120","КАМЕРУН",86
98,"132","КАБО-ВЕРДЕ",83
99,"140","ЦЕНТРАЛЬНОАФРИКАНСЬКА РЕСПУБЛІКА",232
100,"148","ЧАД",233
101,"156","КИТАЙ",91
102,"166","КОКОСОВІ (КІЛІНҐ) ОСТРОВИ",94
103,"174","КОМОРИ",96
104,"180","ДЕМОКРАТИЧНА РЕСПУБЛІКА КОНҐО",59
105,"191","ХОРВАТІЯ",231
106,"196","КІПР",92
107,"203","ЧЕСЬКА РЕСПУБЛІКА",234
108,"208","ДАНІЯ",58
109,"214","ДОМІНІКАНСЬКА РЕСПУБЛІКА",62
110,"312","ҐВАДЕЛУПА",46
111,"324","ҐВІНЕЯ",48
112,"334","ОСТРІВ ХЕРД І ОСТРОВИ МАКДОНАЛЬД",156
113,"352","ІСЛАНДІЯ",79
114,"360","ІНДОНЕЗІЯ",75
115,"372","ІРЛАНДІЯ",78
116,"384","КОТ-Д'ІВУАР",101
117,"398","КАЗАХСТАН",84
118,"408","КОРЕЙСЬКА НАРОДНО-ДЕМОКРАТИЧНА РЕСПУБЛІКА",98
119,"418","ЛАОСЬКА НАРОДНО-ДЕМОКРАТИЧНА РЕСПУБЛІКА",104
120,"434","ЛІВІЙСЬКА АРАБСЬКА ДЖАМАХІРІЯ",110
121,"450","МАДАҐАСКАР",115
122,"458","МАЛАЙЗІЯ",120
123,"470","МАЛЬТА",124
124,"478","МАВРИТАНІЯ",114
125,"496","МОНГОЛІЯ",133
126,"498","МОЛДОВА",131
127,"504","МАРОККО",125
128,"516","НАМІБІЯ",136
129,"524","НЕПАЛ",138
130,"530","НІДЕРЛАНДСЬКІ АНТИЛЬСЬКІ ОСТРОВИ",142
131,"566","НІҐЕРІЯ",140
132,"574","ОСТРІВ НОРФОЛК",153
133,"580","ПІВНІЧНІ МАРІАНСЬКІ ОСТРОВИ",170
134,"586","ПАКИСТАН",160
135,"598","ПАПУА-НОВА ҐВІНЕЯ",165
136,"612","ПІТКЕРН",171
137,"616","ПОЛЬЩА",172
138,"659","СЕНТ-КІТС І НЕВІС",189
139,"533","АРУБА",14
140,"562","НІҐЕР",139
141,"585","ПАЛАУ",161
142,"600","ПАРАҐВАЙ",166
143,"492","МОНАКО",132
144,"404","КЕНІЯ",89
145,"422","ЛІВАН",109
146,"380","ІТАЛІЯ",81
147,"316","ҐУАМ",57
148,"239","ПІВДЕННА ДЖОРДЖІЯ ТА ПІВДЕННІ САНДВІЧЕВІ ОСТРОВИ",169
149,"368","ІРАК",76
150,"231","ЕФІОПІЯ",67
151,"233","ЕСТОНІЯ",66
152,"238","ФОЛКЛЕНДСЬКІ ОСТРОВИ (МАЛЬВІНСЬКІ)",226
153,"262","ДЖІБУТІ",60
154,"716","ЗІМБАБВЕ",72
155,"674","САН-МАРИНО",181
156,"748","СВАЗІЛЕНД",184
157,"772","ТОКЕЛАУ",209
158,"800","УҐАНДА",216
159,"158","ТАЙВАНЬ, ПРОВІНЦІЯ КИТАЮ",205
160,"854","БУРКІНА-ФАСО",32
161,"4","АФГАНІСТАН",15
162,"12","АЛЖИР",6
163,"20","АНДОРРА",10
164,"28","АНТИҐУА І БАРБУДА",12
165,"32","АРГЕНТИНА",13
166,"44","БАГАМИ",16
167,"50","БАНҐЛАДЕШ",17
168,"56","БЕЛЬҐІЯ",21
169,"64","БУТАН",34
170,"72","БОТСВАНА",28
171,"76","БРАЗІЛІЯ",29
172,"90","СОЛОМОНОВІ ОСТРОВИ",196
173,"92","ВІРҐІНСЬКІ ОСТРОВИ, БРИТАНСЬКІ",38
174,"100","БОЛГАРІЯ",25
175,"108","БУРУНДІ",33
176,"116","КАМБОДЖА",85
177,"124","КАНАДА",87
178,"74","ОСТРІВ БУВЕ",152
179,"144","ШРІ-ЛАНКА",239
180,"152","ЧІЛІ",235
181,"162","ОСТРІВ РІЗДВА",154
182,"170","КОЛУМБІЯ",95
183,"178","КОНҐО",97
184,"184","ОСТРОВИ КУКА",158
185,"188","КОСТА-РИКА",100
186,"192","КУБА",102
187,"204","БЕНІН",22
188,"212","ДОМІНІКА",61
189,"218","ЕКВАДОР",63
190,"248","АЛАНДСЬКІ ОСТРОВИ",4
191,"275","ПАЛЕСТИНСЬКА ТЕРИТОРІЯ",162
192,"246","ФІНЛЯНДІЯ",225
193,"250","ФРАНЦІЯ",227
194,"254","ФРАНЦУЗЬКА ҐВІАНА",228
195,"258","ФРАНЦУЗЬКА ПОЛІНЕЗІЯ",229
196,"260","ФРАНЦУЗЬКІ ПІВДЕННІ ТЕРИТОРІЇ",230
197,"268","ГРУЗІЯ",56
198,"270","ҐАМБІЯ",44
199,"276","НІМЕЧЧИНА",144
200,"288","ГАНА",45
201,"292","ҐІБРАЛТАР",50
202,"296","КІРІБАТІ",93
203,"304","ҐРЕНЛАНДІЯ",54
204,"308","ҐРЕНАДА",53
205,"320","ҐВАТЕМАЛА",47
206,"328","ҐАЙАНА",43
207,"336","ПАПСЬКИЙ ПРЕСТОЛ (ДЕРЖАВА-МІСТО ВАТИКАН)",164
208,"344","ГОНКОНҐ",52
209,"356","ІНДІЯ",74
210,"364","ІРАН, ІСЛАМСЬКА РЕСПУБЛІКА",77
211,"376","ІЗРАЇЛЬ",73
212,"388","ЯМАЙКА",240
213,"392","ЯПОНІЯ",241
214,"400","ЙОРДАНІЯ",82
215,"414","КУВЕЙТ",103
216,"417","КИРГИЗСТАН",90
217,"426","ЛЕСОТО",106
218,"428","ЛАТВІЯ",105
219,"430","ЛІБЕРІЯ",108
220,"440","ЛИТВА",107
221,"442","ЛЮКСЕМБУРҐ",112
222,"454","МАЛАВІ",119
223,"462","МАЛЬДІВИ",123
224,"474","МАРТІНІКА",126
225,"480","МАВРИКІЙ",113
226,"484","МЕКСИКА",128
227,"500","МОНТСЕРРАТ",134
228,"512","ОМАН",151
229,"520","НАУРУ",137
230,"528","НІДЕРЛАНДИ",141
231,"548","ВАНУАТУ",35
232,"554","НОВА ЗЕЛАНДІЯ",146
233,"558","НІКАРАҐУА",143
234,"570","НІУЕ",145
235,"578","НОРВЕҐІЯ",148
236,"581","МАЛІ ВІДДАЛЕНІ ОСТРОВИ СПОЛУЧЕНИХ ШТАТІВ",122
237,"584","МАРШАЛЛОВІ ОСТРОВИ",127
238,"591","ПАНАМА",163
239,"604","ПЕРУ",167
240,"608","ФІЛІППІНИ",224
241,"620","ПОРТУҐАЛІЯ",173
242,"688","СЕРБІЯ",191
243,"499","ЧОРНОГОРІЯ",236
244,"891","СЕРБІЯ І ЧОРНОГОРІЯ",242
