"AK_ID","CODE","NAME","AK_AK_ID","START_DATE","END_DATE","SORT_ORDER"
3399,"27.32","Виробництво інших видів електронних і електричних проводів і кабелів",3817,"1/1/12, 00:00:00",,"C.27.32"
3400,"27.33","Виробництво електромонтажних пристроїв",3817,"1/1/12, 00:00:00",,"C.27.33"
3401,"27.4","Виробництво електричного освітлювального устатковання",3811,"1/1/12, 00:00:00",,"C.27.4"
3402,"27.40","Виробництво електричного освітлювального устатковання",3401,"1/1/12, 00:00:00",,"C.27.40"
3403,"27.5","Виробництво побутових приладів",3811,"1/1/12, 00:00:00",,"C.27.5"
3404,"27.51","Виробництво електричних побутових приладів",3403,"1/1/12, 00:00:00",,"C.27.51"
3405,"27.52","Виробництво неелектричних побутових приладів",3403,"1/1/12, 00:00:00",,"C.27.52"
3406,"27.9","Виробництво іншого електричного устатковання",3811,"1/1/12, 00:00:00",,"C.27.9"
3407,"27.90","Виробництво іншого електричного устатковання",3406,"1/1/12, 00:00:00",,"C.27.90"
3408,"28","Виробництво машин і устатковання, н. в. і. у.",3561,"1/1/12, 00:00:00",,"C.28"
3409,"28.1","Виробництво машин і устатковання загального призначення",3408,"1/1/12, 00:00:00",,"C.28.1"
3410,"28.11","Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",3409,"1/1/12, 00:00:00",,"C.28.11"
3411,"28.12","Виробництво гідравлічного та пневматичного устатковання",3409,"1/1/12, 00:00:00",,"C.28.12"
3412,"28.13","Виробництво інших помп і компресорів",3409,"1/1/12, 00:00:00",,"C.28.13"
3413,"28.14","Виробництво інших кранів і клапанів",3409,"1/1/12, 00:00:00",,"C.28.14"
3414,"28.15","Виробництво підшипників, зубчастих передач, елементів механічних передач і приводів",3409,"1/1/12, 00:00:00",,"C.28.15"
3415,"28.2","Виробництво інших машин і устатковання загального призначення",3408,"1/1/12, 00:00:00",,"C.28.2"
3416,"28.21","Виробництво духових шаф, печей і пічних пальників",3415,"1/1/12, 00:00:00",,"C.28.21"
3417,"28.22","Виробництво підіймального та вантажно-розвантажувального устатковання",3415,"1/1/12, 00:00:00",,"C.28.22"
3418,"28.23","Виробництво офісних машин і устатковання, крім комп'ютерів і периферійного устатковання",3415,"1/1/12, 00:00:00",,"C.28.23"
3419,"28.24","Виробництво ручних електромеханічних і пневматичних інструментів",3415,"1/1/12, 00:00:00",,"C.28.24"
3420,"28.25","Виробництво промислового холодильного та вентиляційного устатковання",3415,"1/1/12, 00:00:00",,"C.28.25"
3421,"28.29","Виробництво інших машин і устатковання загального призначення, н. в. і. у.",3415,"1/1/12, 00:00:00",,"C.28.29"
3422,"28.3","Виробництво машин і устатковання для сільського та лісового господарства",3408,"1/1/12, 00:00:00",,"C.28.3"
3423,"28.30","Виробництво машин і устатковання для сільського та лісового господарства",3422,"1/1/12, 00:00:00",,"C.28.30"
3424,"28.4","Виробництво металообробних машин і верстатів",3408,"1/1/12, 00:00:00",,"C.28.4"
3425,"28.41","Виробництво металообробних машин",3424,"1/1/12, 00:00:00",,"C.28.41"
3426,"28.49","Виробництво інших верстатів",3424,"1/1/12, 00:00:00",,"C.28.49"
